Which file:,TO average delay,IC average delay,TO misses,IC misses,TO truth delay,IC truth delay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
532,2291,3690,5024,6342,7764,9094,10385,11687,13043,14413,15812,17124,18393,19716,21013,22298,23650,25010,26305,27562,28946,30307,31567,32894,34208,35552,36894,38209,39538,40852,42211,43546,44885,46220,47627,48998,50353,51759,53151,54488,55785,57124,58508,59853,61264,62680,63980,65311,66708,68079,69493,70925,72379,73673,74540
532,2291,3690,5024,6342,7764,9094,10385,11687,13043,14413,15812,17124,18393,19716,21013,22298,23650,25010,26305,27562,28946,30307,31567,32894,34208,35552,36894,38209,39538,40852,42211,43546,44885,46220,47627,48998,50353,51759,53151,54488,55785,57124,58508,59853,61264,62680,63980,65311,66708,68079,69493,70925,72379,73673,74540
16,1842,2882,4241,5553,6996,8401,9613,10931,12326,13658,15089,16322,17727,19021,20235,21649,22850,24197,25528,26819,28227,29484,30943,32138,33531,34879,36105,37440,38753,40174,41382,42759,44204,45534,46894,48271,49648,51027,52349,53802,55114,56344,57793,59051,60551,61846,63209,64599,65860,67260,68754,70146,71507,72997,74361
16,1842,2882,4241,5553,6996,8401,9613,10931,12326,13658,15089,16322,17727,19021,20235,21649,22850,24197,25528,26819,28227,29484,30943,32138,33531,34879,36105,37440,38753,40174,41382,42759,44204,45534,46894,48271,49648,51027,52349,53802,55114,56344,57793,59051,60551,61846,63209,64599,65860,67260,68754,70146,71507,72997,74361
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRT07_vary_01.csv,0,0,0,0,-1622.326087,-45.66666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
291,1019,2419,3747,5060,6346,7693,8974,10284,11596,12899,14098,15238,16339,17443,18543,19666,20757,21844,22947,24026,25069,26013,26942,27869,28828,29771,30684,31633,32588,33530,34488,35431,36472,37628,38743,39867,41020,42193,43402,44695,46011,47340,48660,49986,51356,52691,54106,54918,,,,,,,
291,1019,2419,3747,5060,6346,7693,8974,10284,11596,12899,14098,15238,16339,17443,18543,19666,20757,21844,22947,24026,25069,26013,26942,27869,28828,29771,30684,31633,32588,33530,34488,35431,36472,37628,38743,39867,41020,42193,43402,44695,46011,47340,48660,49986,51356,52691,54106,54918,,,,,,,
134,902,1674,3085,4280,5609,6997,8204,9516,10927,12131,13416,14584,15711,16812,17909,19024,20178,21235,22326,23413,24503,25501,26431,27356,28297,29250,30188,31162,32056,33020,33969,34920,35878,36967,38101,39215,40448,41516,42794,44053,45357,46554,47891,49202,50647,51891,53361,54693,,,,,,,
134,902,1674,3085,4280,5609,6997,8204,9516,10927,12131,13416,14584,15711,16812,17909,19024,20178,21235,22326,23413,24503,25501,26431,27356,28297,29250,30188,31162,32056,33020,33969,34920,35878,36967,38101,39215,40448,41516,42794,44053,45357,46554,47891,49202,50647,51891,53361,54693,,,,,,,
