

GRT01_fast_01.csv


GRT01_med_01.csv

time: current_time:  2195.0 ; first_zero:  False ; second_zero:  True ; current_point:  -43.33 ; prev_point:  -43.4


time: current_time:  2202.0 ; first_zero:  False ; second_zero:  True ; current_point:  -43.47 ; prev_point:  -43.33


time: current_time:  2210.0 ; first_zero:  False ; second_zero:  True ; current_point:  -43.89 ; prev_point:  -43.47


time: current_time:  2218.0 ; first_zero:  False ; second_zero:  True ; current_point:  -44.38 ; prev_point:  -43.89


time: current_time:  2226.0 ; first_zero:  False ; second_zero:  True ; current_point:  -44.73 ; prev_point:  -44.38


time: current_time:  2234.0 ; first_zero:  False ; second_zero:  True ; current_point:  -45.57 ; prev_point:  -44.73


time: current_time:  2241.0 ; first_zero:  False ; second_zero:  True ; current_point:  -46.13 ; prev_point:  -45.57


time: current_time:  2249.0 ; first_zero:  False ; second_zero:  True ; current_point:  -46.41 ; prev_point:  -46.13


time: current_time:  2257.0 ; first_zero:  False ; second_zero:  True ; current_point:  -46.83 ; prev_point:  -46.41


time: current_time:  2264.0 ; first_zero:  False ; second_zero:  True ; current_point:  -47.11 ; prev_point:  -46.83


time: current_time:  2272.0 ; first_zero:  False ; second_zero:  True ; current_point:  -47.04 ; prev_point:  -47.11


time: current_time:  2280.0 ; first_zero:  False ; second_zero:  True ; current_point:  -46.97 ; prev_point:  -47.04


time: current_time:  2288.0 ; first_zero:  False ; second_zero:  True ; current_point:  -47.18 ; prev_point:  -46.97


time: current_time:  2296.0 ; first_zero:  False ; second_zero:  True ; current_point:  -47.32 ; prev_point:  -47.18


time: current_time:  2303.0 ; first_zero:  False ; second_zero:  True ; current_point:  -48.09 ; prev_point:  -47.32


time: current_time:  2311.0 ; first_zero:  False ; second_zero:  True ; current_point:  -48.23 ; prev_point:  -48.09


time: current_time:  2319.0 ; first_zero:  False ; second_zero:  True ; current_point:  -48.3 ; prev_point:  -48.23


time: current_time:  2327.0 ; first_zero:  False ; second_zero:  True ; current_point:  -48.37 ; prev_point:  -48.3


time: current_time:  2335.0 ; first_zero:  False ; second_zero:  True ; current_point:  -48.37 ; prev_point:  -48.37


time: current_time:  2343.0 ; first_zero:  False ; second_zero:  True ; current_point:  -48.44 ; prev_point:  -48.37


time: current_time:  2351.0 ; first_zero:  False ; second_zero:  True ; current_point:  -48.02 ; prev_point:  -48.44


time: current_time:  2359.0 ; first_zero:  False ; second_zero:  True ; current_point:  -47.88 ; prev_point:  -48.02


time: current_time:  2367.0 ; first_zero:  False ; second_zero:  True ; current_point:  -48.09 ; prev_point:  -47.88


time: current_time:  2375.0 ; first_zero:  False ; second_zero:  True ; current_point:  -48.09 ; prev_point:  -48.09


time: current_time:  2383.0 ; first_zero:  False ; second_zero:  True ; current_point:  -47.6 ; prev_point:  -48.09


time: current_time:  2391.0 ; first_zero:  False ; second_zero:  True ; current_point:  -47.46 ; prev_point:  -47.6


time: current_time:  2399.0 ; first_zero:  False ; second_zero:  True ; current_point:  -47.95 ; prev_point:  -47.46


time: current_time:  2407.0 ; first_zero:  False ; second_zero:  True ; current_point:  -47.74 ; prev_point:  -47.95


time: current_time:  2414.0 ; first_zero:  False ; second_zero:  True ; current_point:  -47.46 ; prev_point:  -47.74


time: current_time:  2422.0 ; first_zero:  False ; second_zero:  True ; current_point:  -47.25 ; prev_point:  -47.46


time: current_time:  2430.0 ; first_zero:  False ; second_zero:  True ; current_point:  -47.81 ; prev_point:  -47.25


time: current_time:  2438.0 ; first_zero:  False ; second_zero:  True ; current_point:  -48.51 ; prev_point:  -47.81


time: current_time:  2446.0 ; first_zero:  False ; second_zero:  True ; current_point:  -50.47 ; prev_point:  -48.51


time: current_time:  2454.0 ; first_zero:  False ; second_zero:  True ; current_point:  -52.99 ; prev_point:  -50.47


time: current_time:  2462.0 ; first_zero:  False ; second_zero:  True ; current_point:  -55.79 ; prev_point:  -52.99


time: current_time:  2469.0 ; first_zero:  False ; second_zero:  True ; current_point:  -58.52 ; prev_point:  -55.79


time: current_time:  2477.0 ; first_zero:  False ; second_zero:  True ; current_point:  -60.97 ; prev_point:  -58.52


time: current_time:  2485.0 ; first_zero:  False ; second_zero:  True ; current_point:  -63.21 ; prev_point:  -60.97


time: current_time:  2493.0 ; first_zero:  False ; second_zero:  True ; current_point:  -65.1 ; prev_point:  -63.21


time: current_time:  2501.0 ; first_zero:  False ; second_zero:  True ; current_point:  -68.46 ; prev_point:  -65.1


time: current_time:  2508.0 ; first_zero:  False ; second_zero:  True ; current_point:  -71.68 ; prev_point:  -68.46


time: current_time:  2516.0 ; first_zero:  False ; second_zero:  True ; current_point:  -75.74 ; prev_point:  -71.68


time: current_time:  2524.0 ; first_zero:  False ; second_zero:  True ; current_point:  -80.71 ; prev_point:  -75.74


time: current_time:  2532.0 ; first_zero:  False ; second_zero:  True ; current_point:  -84.77 ; prev_point:  -80.71


time: current_time:  2540.0 ; first_zero:  False ; second_zero:  True ; current_point:  -89.95 ; prev_point:  -84.77


time: current_time:  2548.0 ; first_zero:  False ; second_zero:  True ; current_point:  -91.0 ; prev_point:  -89.95


time: current_time:  2555.0 ; first_zero:  False ; second_zero:  True ; current_point:  -91.7 ; prev_point:  -91.0


time: current_time:  2563.0 ; first_zero:  False ; second_zero:  True ; current_point:  -90.3 ; prev_point:  -91.7


time: current_time:  2571.0 ; first_zero:  False ; second_zero:  True ; current_point:  -89.32 ; prev_point:  -90.3


time: current_time:  2579.0 ; first_zero:  False ; second_zero:  True ; current_point:  -87.29 ; prev_point:  -89.32


time: current_time:  2587.0 ; first_zero:  False ; second_zero:  True ; current_point:  -84.42 ; prev_point:  -87.29


time: current_time:  2595.0 ; first_zero:  False ; second_zero:  True ; current_point:  -78.47 ; prev_point:  -84.42


time: current_time:  2603.0 ; first_zero:  False ; second_zero:  True ; current_point:  -71.33 ; prev_point:  -78.47


time: current_time:  2611.0 ; first_zero:  False ; second_zero:  True ; current_point:  -64.12 ; prev_point:  -71.33


time: current_time:  2619.0 ; first_zero:  False ; second_zero:  True ; current_point:  -54.6 ; prev_point:  -64.12


time: current_time:  2627.0 ; first_zero:  False ; second_zero:  True ; current_point:  -42.0 ; prev_point:  -54.6


time: current_time:  2635.0 ; first_zero:  False ; second_zero:  True ; current_point:  -28.84 ; prev_point:  -42.0


time: current_time:  2643.0 ; first_zero:  False ; second_zero:  True ; current_point:  -16.52 ; prev_point:  -28.84


time: current_time:  2651.0 ; first_zero:  False ; second_zero:  True ; current_point:  -4.2 ; prev_point:  -16.52


time: current_time:  2659.0 ; first_zero:  False ; second_zero:  True ; current_point:  -3.57 ; prev_point:  -4.2


time: current_time:  2666.0 ; first_zero:  False ; second_zero:  True ; current_point:  -4.41 ; prev_point:  -3.57


time: current_time:  2675.0 ; first_zero:  False ; second_zero:  True ; current_point:  1.75 ; prev_point:  -4.41

calib time:  [1528.0, 1536.0, 1544.0, 1552.0, 1560.0, 1568.0, 1576.0, 1584.0, 1592.0, 1599.0, 1607.0, 1615.0, 1623.0, 1630.0, 1638.0, 1646.0, 1654.0, 1662.0, 1670.0, 1678.0, 1685.0, 1693.0, 1701.0, 1708.0, 1716.0, 1724.0, 1732.0, 1740.0, 1748.0, 1755.0, 1763.0, 1771.0, 1779.0, 1787.0, 1795.0, 1803.0, 1811.0, 1818.0, 1826.0, 1834.0, 1841.0, 1849.0, 1857.0, 1865.0, 1873.0, 1881.0, 1889.0, 1896.0, 1905.0, 1912.0, 1920.0, 1928.0, 1936.0, 1944.0, 1952.0, 1960.0, 1968.0, 1975.0, 1983.0, 1991.0, 1999.0, 2007.0, 2014.0, 2022.0, 2030.0, 2037.0, 2045.0, 2053.0, 2061.0, 2069.0, 2077.0, 2085.0, 2093.0, 2101.0, 2109.0, 2117.0, 2124.0, 2132.0, 2140.0, 2148.0, 2155.0, 2163.0, 2171.0, 2179.0, 2187.0, 2195.0, 2202.0, 2210.0, 2218.0, 2226.0, 2234.0, 2241.0, 2249.0, 2257.0, 2264.0, 2272.0, 2280.0, 2288.0, 2296.0, 2303.0, 2311.0, 2319.0, 2327.0, 2335.0, 2343.0, 2351.0, 2359.0, 2367.0, 2375.0, 2383.0, 2391.0, 2399.0, 2407.0, 2414.0, 2422.0, 2430.0, 2438.0, 2446.0, 2454.0, 2462.0, 2469.0, 2477.0, 2485.0, 2493.0, 2501.0, 2508.0, 2516.0, 2524.0, 2532.0, 2540.0, 2548.0, 2555.0, 2563.0, 2571.0, 2579.0, 2587.0, 2595.0, 2603.0, 2611.0, 2619.0, 2627.0, 2635.0, 2643.0, 2651.0, 2659.0, 2666.0, 2675.0]
values:  [-22.26, -16.45, -10.22, -1.05, 6.93, 15.54, 24.36, 33.18, 41.58, 51.94, 59.15, 65.17, 70.0, 73.92, 77.28, 80.43, 83.09, 85.26, 88.41, 90.3, 92.61, 94.64, 96.6, 98.0, 98.84, 99.33, 99.12, 97.79, 94.99, 91.21, 88.13, 86.66, 86.87, 88.55, 89.81, 89.81, 88.06, 83.58, 76.93, 68.04, 39.34, 40.67, 26.81, 12.46, -1.4, -14.42, -26.39, -39.97, -49.98, -60.41, -71.47, -78.47, -72.17, -45.01, -30.24, -34.79, -54.46, -61.11, -57.47, -57.96, -61.04, -61.6, -61.74, -62.65, -65.31, -68.18, -71.89, -73.5, -53.97, -65.17, -58.87, -53.41, -50.05, -47.81, -45.43, -43.96, -41.93, -40.25, -39.13, -39.27, -40.74, -42.28, -43.82, -43.96, -43.4, -43.33, -43.47, -43.89, -44.38, -44.73, -45.57, -46.13, -46.41, -46.83, -47.11, -47.04, -46.97, -47.18, -47.32, -48.09, -48.23, -48.3, -48.37, -48.37, -48.44, -48.02, -47.88, -48.09, -48.09, -47.6, -47.46, -47.95, -47.74, -47.46, -47.25, -47.81, -48.51, -50.47, -52.99, -55.79, -58.52, -60.97, -63.21, -65.1, -68.46, -71.68, -75.74, -80.71, -84.77, -89.95, -91.0, -91.7, -90.3, -89.32, -87.29, -84.42, -78.47, -71.33, -64.12, -54.6, -42.0, -28.84, -16.52, -4.2, -3.57, -4.41, 1.75]
which_middle_index:  98
value at index :  -47.32
time at index :  2296.0
mid_peak_time_frame:  [-22.26, -16.45, -10.22, -1.05, 6.93, 15.54, 24.36, 33.18, 41.58, 51.94, 59.15, 65.17, 70.0, 73.92, 77.28, 80.43, 83.09, 85.26, 88.41, 90.3, 92.61, 94.64, 96.6, 98.0, 98.84, 99.33, 99.12, 97.79, 94.99, 91.21, 88.13, 86.66, 86.87, 88.55, 89.81, 89.81, 88.06, 83.58, 76.93, 68.04, 39.34, 40.67, 26.81, 12.46, -1.4, -14.42, -26.39, -39.97, -49.98, -60.41, -71.47, -78.47, -72.17, -45.01, -30.24, -34.79, -54.46, -61.11, -57.47, -57.96, -61.04, -61.6, -61.74, -62.65, -65.31, -68.18, -71.89, -73.5, -53.97, -65.17, -58.87, -53.41, -50.05, -47.81, -45.43, -43.96, -41.93, -40.25, -39.13, -39.27, -40.74, -42.28, -43.82, -43.96, -43.4, -43.33, -43.47, -43.89, -44.38, -44.73, -45.57, -46.13, -46.41, -46.83, -47.11, -47.04, -46.97, -47.18]
end_peak_time_frame:  [-47.32, -48.09, -48.23, -48.3, -48.37, -48.37, -48.44, -48.02, -47.88, -48.09, -48.09, -47.6, -47.46, -47.95, -47.74, -47.46, -47.25, -47.81, -48.51, -50.47, -52.99, -55.79, -58.52, -60.97, -63.21, -65.1, -68.46, -71.68, -75.74, -80.71, -84.77, -89.95, -91.0, -91.7, -90.3, -89.32, -87.29, -84.42, -78.47, -71.33, -64.12, -54.6, -42.0, -28.84, -16.52, -4.2, -3.57, -4.41]
ICtime_full:  1928.0

NEW AVERAGES: 
TO:  -91.7
[-91.7]
[2555.0]
IC:  -78.47
[-78.47]
[1928.0]

time: current_time:  2682.0 ; first_zero:  False ; second_zero:  False ; current_point:  9.66 ; prev_point:  -4.41


time: current_time:  2690.0 ; first_zero:  True ; second_zero:  False ; current_point:  19.74 ; prev_point:  9.66


time: current_time:  2698.0 ; first_zero:  True ; second_zero:  False ; current_point:  31.57 ; prev_point:  19.74


time: current_time:  2705.0 ; first_zero:  True ; second_zero:  False ; current_point:  41.44 ; prev_point:  31.57


time: current_time:  2713.0 ; first_zero:  True ; second_zero:  False ; current_point:  52.43 ; prev_point:  41.44


time: current_time:  2721.0 ; first_zero:  True ; second_zero:  False ; current_point:  60.55 ; prev_point:  52.43


time: current_time:  2729.0 ; first_zero:  True ; second_zero:  False ; current_point:  69.37 ; prev_point:  60.55


time: current_time:  2737.0 ; first_zero:  True ; second_zero:  False ; current_point:  77.28 ; prev_point:  69.37


time: current_time:  2745.0 ; first_zero:  True ; second_zero:  False ; current_point:  85.54 ; prev_point:  77.28


time: current_time:  2753.0 ; first_zero:  True ; second_zero:  False ; current_point:  95.2 ; prev_point:  85.54


time: current_time:  2761.0 ; first_zero:  True ; second_zero:  False ; current_point:  108.01 ; prev_point:  95.2


time: current_time:  2769.0 ; first_zero:  True ; second_zero:  False ; current_point:  115.01 ; prev_point:  108.01


time: current_time:  2777.0 ; first_zero:  True ; second_zero:  False ; current_point:  124.11 ; prev_point:  115.01


time: current_time:  2785.0 ; first_zero:  True ; second_zero:  False ; current_point:  133.77 ; prev_point:  124.11


time: current_time:  2793.0 ; first_zero:  True ; second_zero:  False ; current_point:  143.92 ; prev_point:  133.77


time: current_time:  2801.0 ; first_zero:  True ; second_zero:  False ; current_point:  150.92 ; prev_point:  143.92


time: current_time:  2809.0 ; first_zero:  True ; second_zero:  False ; current_point:  157.64 ; prev_point:  150.92


time: current_time:  2816.0 ; first_zero:  True ; second_zero:  False ; current_point:  163.45 ; prev_point:  157.64


time: current_time:  2824.0 ; first_zero:  True ; second_zero:  False ; current_point:  167.51 ; prev_point:  163.45


time: current_time:  2832.0 ; first_zero:  True ; second_zero:  False ; current_point:  171.78 ; prev_point:  167.51


time: current_time:  2840.0 ; first_zero:  True ; second_zero:  False ; current_point:  174.93 ; prev_point:  171.78


time: current_time:  2848.0 ; first_zero:  True ; second_zero:  False ; current_point:  178.22 ; prev_point:  174.93


time: current_time:  2856.0 ; first_zero:  True ; second_zero:  False ; current_point:  180.46 ; prev_point:  178.22


time: current_time:  2864.0 ; first_zero:  True ; second_zero:  False ; current_point:  182.0 ; prev_point:  180.46


time: current_time:  2872.0 ; first_zero:  True ; second_zero:  False ; current_point:  184.52 ; prev_point:  182.0


time: current_time:  2880.0 ; first_zero:  True ; second_zero:  False ; current_point:  188.58 ; prev_point:  184.52


time: current_time:  2888.0 ; first_zero:  True ; second_zero:  False ; current_point:  195.86 ; prev_point:  188.58


time: current_time:  2896.0 ; first_zero:  True ; second_zero:  False ; current_point:  201.81 ; prev_point:  195.86


time: current_time:  2904.0 ; first_zero:  True ; second_zero:  False ; current_point:  207.76 ; prev_point:  201.81


time: current_time:  2912.0 ; first_zero:  True ; second_zero:  False ; current_point:  213.29 ; prev_point:  207.76


time: current_time:  2920.0 ; first_zero:  True ; second_zero:  False ; current_point:  216.51 ; prev_point:  213.29


time: current_time:  2928.0 ; first_zero:  True ; second_zero:  False ; current_point:  214.34 ; prev_point:  216.51


time: current_time:  2936.0 ; first_zero:  True ; second_zero:  False ; current_point:  205.17 ; prev_point:  214.34


time: current_time:  2943.0 ; first_zero:  True ; second_zero:  False ; current_point:  191.45 ; prev_point:  205.17


time: current_time:  2951.0 ; first_zero:  True ; second_zero:  False ; current_point:  177.73 ; prev_point:  191.45


time: current_time:  2959.0 ; first_zero:  True ; second_zero:  False ; current_point:  167.65 ; prev_point:  177.73


time: current_time:  2967.0 ; first_zero:  True ; second_zero:  False ; current_point:  158.27 ; prev_point:  167.65


time: current_time:  2975.0 ; first_zero:  True ; second_zero:  False ; current_point:  133.98 ; prev_point:  158.27


time: current_time:  2983.0 ; first_zero:  True ; second_zero:  False ; current_point:  101.15 ; prev_point:  133.98


time: current_time:  2991.0 ; first_zero:  True ; second_zero:  False ; current_point:  58.66 ; prev_point:  101.15


time: current_time:  2999.0 ; first_zero:  True ; second_zero:  False ; current_point:  14.42 ; prev_point:  58.66


time: current_time:  3007.0 ; first_zero:  True ; second_zero:  False ; current_point:  -20.72 ; prev_point:  14.42

second_zero_time:  3007.0
raw values:  14.42  and  -20.72
1st:  35.14
2nd:  6.299999999999999

time: current_time:  3014.0 ; first_zero:  False ; second_zero:  True ; current_point:  -43.96 ; prev_point:  -20.72


time: current_time:  3022.0 ; first_zero:  False ; second_zero:  True ; current_point:  -61.95 ; prev_point:  -43.96


time: current_time:  3030.0 ; first_zero:  False ; second_zero:  True ; current_point:  -81.13 ; prev_point:  -61.95


time: current_time:  3038.0 ; first_zero:  False ; second_zero:  True ; current_point:  -94.43 ; prev_point:  -81.13


time: current_time:  3046.0 ; first_zero:  False ; second_zero:  True ; current_point:  -107.73 ; prev_point:  -94.43


time: current_time:  3054.0 ; first_zero:  False ; second_zero:  True ; current_point:  -113.68 ; prev_point:  -107.73


time: current_time:  3062.0 ; first_zero:  False ; second_zero:  True ; current_point:  -98.7 ; prev_point:  -113.68


time: current_time:  3070.0 ; first_zero:  False ; second_zero:  True ; current_point:  -63.98 ; prev_point:  -98.7


time: current_time:  3077.0 ; first_zero:  False ; second_zero:  True ; current_point:  -43.54 ; prev_point:  -63.98


time: current_time:  3085.0 ; first_zero:  False ; second_zero:  True ; current_point:  -66.01 ; prev_point:  -43.54


time: current_time:  3093.0 ; first_zero:  False ; second_zero:  True ; current_point:  -93.24 ; prev_point:  -66.01


time: current_time:  3101.0 ; first_zero:  False ; second_zero:  True ; current_point:  -101.29 ; prev_point:  -93.24


